Id,Category
225,sventagliare+V
226,assicurare+A
227,troncare+V
228,infiammare+V
229,dissecare+V
230,desinare+V
231,speronare+V
232,inscatolare+V
233,sfrangiare+V
234,assaporare+V
235,stereotipizzare+V
236,rubacchiare+V
237,allargare+V
238,inquadrare+V
239,soggiornare+V
240,spaginare+V
241,avvalere+V
242,discacciare+V
243,debilitare+V
244,spoetizzare+V
245,rincantucciare+V
246,mummificare+V
247,intingere+V
248,insinuare+V
249,erigere+V
250,pioviggine+V
251,impalcare+V
252,intasare+V
253,stordire+V
254,ortodossia+N
255,destrutturare+V
256,magnetizzare+V
257,imbandierare+V
258,compassare+V
259,contrapporre+V
260,incapricciare+V
261,chioccolare+V
262,bibliofilo+A
263,precludere+V
264,ricouocere+V
265,comunicare+V
266,juventina+A
267,raffrenare+V
268,chiavare+V
269,pugnalare+V
270,crocidare+V
271,invasare+V
272,mistura+N
273,imbev+V
274,foracchiare+V
275,recidiare+V
276,saltare+V
277,leggicchiare+A
278,denotare+V
279,entrare+V
280,completare+V
281,solubilizzare+V
282,decretazione+N
283,promuovere+V
284,rintontire+V
285,rischiarare+V
286,autopromuovere+V
287,curvatura+N
288,accorare+V
289,sconoscere+V
290,oltrepassare+V
291,riflettere+V
292,bastone+N
293,stellare+V
294,orchestrare+V
295,campionare+V
296,amnistiare+V
297,intrigare+V
298,rieducare+V
299,sbiancare+V
300,diurna+A
301,addire+V
302,ripromettere+V
303,comprovare+V
304,autorizzare+A
305,remare+V
306,roccione+N
307,strappare+V
308,rincarare+V
309,rifrangere+V
310,intossicare+V
311,vaticinare+V
312,alluminare+V
313,snebbiare+V
314,autogovernare+V
315,imbattere+V
316,simulare+V
317,indottrinare+V
318,co-presiedere+V
319,bollare+V
320,assommare+V
321,sedurre+V
322,stimmatizzare+V
323,districare+V
324,ridire+V
325,strabuzzare+V
326,not+V
327,dissanguare+V
328,coalizzare+V
329,sviare+V
330,tossicchiare+V
331,seghettare+V
332,gargarizzare+V
333,idrico+A
334,stiracchiare+V
335,interea+V
336,scrosciare+V
337,abboccare+V
338,reintegrare+V
339,tentare+A
340,rimarcare+V
341,srotolare+V
342,corrire+V
343,canterellare+V
344,beccare+V
345,saettare+V
346,standardizzare+V
347,catarattao+A
348,riattizzare+V
349,marciare+V
350,rivelare+V
351,burocratizzare+V
352,rifiatare+V
353,gargarizzare+V
354,spronare+V
355,disseminare+V
356,decomprimere+V
357,riscontare+V
358,sciroppare+V
359,sostare+V
360,disinfettare+V
361,difendere+V
362,relazionare+V
363,pudibondo+A
364,affrontare+V
365,dichiarare+V
366,riorientare+V
367,ristore+N
368,beneficiario+N
369,aggrinzare+A
370,sottovalutazione+N
371,collimare+V
372,beneficiare+V
373,disidratare+V
374,fiscalizzare+V
375,contaminare+V
376,indulgere+V
377,compendioare+V
378,tamponare+V
379,contemperare+V
380,costeggiare+V
381,naufragare+V
382,riconsiderare+V
383,autoreplicare+V
384,schivare+V
385,riluttare+V
386,accantonare+V
387,sdottoreggiare+V
388,resuscitare+V
389,discutere+V
390,incerare+V
391,ardire+V
392,sciupare+V
393,ricondurre+V
394,sottrarre+V
395,torrefare+V
396,riavvolgere+V
397,romanz+A
398,riabbattere+V
399,confederale+V
400,dequalificare+V
401,spiumare+V
402,spioncino+N
403,sollazzare+V
404,generare+A
405,rimontare+V
406,astrologare+V
407,teatrodanza+N
408,assaporare+V
409,buttare+V
410,caricare+V
411,ondeggiare+V
412,equivalent+A
413,volo+N
414,demonetizzare+V
415,primeggiare+V
416,svincolare+V
417,figurare+V
418,minare+V
419,predeterminare+V
420,scarrucolare+V
421,lastro+N
422,immagazzinare+V
423,ereditare+V
424,stilizzare+V
425,guadabile+A
426,imbandierare+V
427,cambiare+V
428,leggicchiare+V
429,contabile+A
430,sdottoreggiare+V
431,intercedere+V
432,controfirmare+V
433,borrare+V
434,sghignazzare+V
435,aureolare+V
436,posare+V
437,serrare+V
438,lambiccare+V
439,abbigliare+V
440,scaglionare+V
441,regolamentare+V
442,svilire+V
443,scempiare+A
444,appurare+V
445,volare+V
446,canticchiare+V
447,accessoriato+A
448,addormentare+V
449,indispettire+V
450,verbalizzare+V
451,storpiare+V
452,clerical-calcistico+A
453,siffattao+A
454,rafforzare+V
455,ripubblicare+V
456,messattere+N
457,cristallizzare+V
458,scaffalare+V
459,invocare+V
460,giudicatore+A
461,derapare+V
462,consistere+V
463,desistere+V
464,giocondo+A
465,barcamenare+V
466,imbrattare+V
467,impataccare+V
468,istillare+V
469,autocompatire+V
470,inguainare+V
471,riallungare+V
472,fant+N
473,maxi-inchiest+N
474,mozzare+V
475,dissecare+V
476,pettinare+V
477,copare+V
478,tostare+V
479,poppare+V
480,informare+V
481,fondare+V
482,contagiare+V
483,spingere+V
484,disabituare+A
485,scempiare+V
486,dardeggiare+V
487,sputare+V
488,scalcagnato+A
489,idrogenare+V
490,immergere+V
491,rinunciare+V
492,mugolare+V
493,kafkiano+A
494,svezzare+V
495,politicizzare+V
496,orare+A
497,miticizzare+V
498,invelenire+V
499,diminuire+V
500,offrire+V
501,sopraffare+V
502,ottantesimo+A
503,ingegnare+V
504,assicurare+V
505,inchiodare+V
506,villeggiare+V
507,sfociare+V
508,sputre+V
509,sfracellare+V
510,partitocrazia+N
511,prevenire+A
512,schioccare+V
513,tifare+V
514,sbellicare+V
515,ancheggiare+V
516,cauterizzare+V
517,decriminalizzare+V
518,ronzare+V
519,impaniare+V
520,stravolgere+V
521,immigrare+V
522,congelare+V
523,disputare+V
524,bevicchiare+V
525,vescovare+V
526,autorizzare+V
527,calderone+N
528,tremare+V
529,autoemendare+V
530,amnistiare+V
531,involgere+V
532,addolorare+V
533,reincarnare+V
534,inscrivere+V
535,ingessare+V
536,eccedere+V
537,autocontrollare+V
538,scarrozzare+V
539,lp+N
540,assecondare+V
541,manifestare+N
542,profondare+V
543,interstellare+V
544,sbellicare+V
545,ricomparire+V
546,ghermi+V
547,riaffacciare+V
548,sigillare+V
549,violinistico+A
550,granire+A
551,creo+V
552,incordare+V
553,ricopiare+V
554,autodeterminare+V
555,impensierire+V
556,disperdere+V
557,mammana+N
558,disinfiammare+V
559,disturbare+V
560,avverare+V
561,ballare+N
562,sciupare+V
563,disperdere+V
564,commentare+V
565,calendarizzare+V
566,strumentalizzare+V
567,armeggiare+V
568,alluminare+V
569,deducarre+V
570,secondare+V
571,brunire+V
572,posticipare+V
573,esecrando+A
574,naufragare+V
575,debbiare+V
576,compatire+V
577,gelare+V
578,truccare+V
579,prendere+V
580,basculare+V
581,impellicciare+V
582,allettare+A
583,arcaicizzare+V
584,interstellare+V
585,inzuccherare+V
586,cavare+V
587,indonesiano+A
588,dilungare+V
589,rincoglionire+V
590,colo+N
591,configgere+V
592,indugiare+V
593,involtare+V
594,preordinare+V
595,asfissiare+V
596,vittimizzare+V
597,risiededere+V
598,impiastricciare+V
599,handicappare+V
600,sbandierare+V
601,parlamento+N
602,gracidare+V
603,pimentare+V
604,pregiudicare+V
605,pesare+V
606,ingegnare+V
607,unanimo+A
608,abbigliare+V
609,gretto+A
610,tonare+V
611,crescere+V
612,accellare+V
613,paramento+N
614,fruizione+N
615,insospettire+V
616,umanizzare+V
617,stornellare+V
618,braccare+V
619,tramortire+V
620,strapagare+V
621,marmorizzare+V
622,raddensare+V
623,dattilografare+V
624,rimpallare+V
625,apporre+V
626,sveltao+A
627,spanciare+V
628,defluire+V
629,petrolifero+A
630,bestemmiare+V
631,spagliare+V
632,affaticare+V
633,rinzaffare+V
634,facoltativo+A
635,allontanare+V
636,spiumare+V
637,inscrivere+V
638,smarcare+V
639,ammalato+A
640,ripetere+V
641,appassire+V
642,spilletta+N
643,castrato+N
644,distratto+N
645,sgranchire+V
646,inquinare+V
647,presentaire+V
648,utilizzare+N
649,combattere+V
650,appoggiare+V
651,esplicitare+V
652,illanguidire+V
653,infilzare+V
654,gentilia+A
655,gracidare+V
656,stravaccare+V
657,volare+V
658,afferrare+V
659,sopportare+V
660,contaminare+V
661,spaziare+V
662,smerlare+V
663,zampare+V
664,sondereare+V
665,ricoverare+V
666,brancicare+V
667,azzittre+V
668,stampigliare+A
669,snocciolare+V
670,svasare+V
671,sfrondare+V
672,finanziario+A
673,accentoare+V
674,spericolatezza+N
675,cognomo+N
676,traumatizzare+V
677,arguire+V
678,miticizzare+V
679,disturbare+V
680,svilire+V
681,aggranchire+V
682,lustrare+V
683,ingraziare+V
684,ripetere+V
685,imbarcare+V
686,rappattumare+V
687,tentacolare+V
688,solleticare+V
689,beatificare+V
690,sterilizzare+V
691,zoologico+A
692,direzionato+A
693,appendere+V
694,nauseare+V
695,disperdere+V
696,faticare+A
697,esigere+V
698,pendolare+V
699,ricrescere+V
700,adire+V
701,depositare+V
702,ancheggiare+V
703,moderare+V
704,accordare+V
705,intabarrare+V
706,rintuzzare+V
707,contaminare+V
708,autointerrogare+V
709,fulminare+V
710,antropomorfizzare+V
711,stuzzicare+V
712,drago+N
713,crocifiggere+V
714,facilitare+V
715,prolungare+V
716,sghignazzare+V
717,compungere+V
718,grattare+V
719,lungaggine+N
720,universalizzare+V
721,sbandierare+V
722,balenare+V
723,paritetico+A
724,inorgoglire+V
725,gemellaggio+N
726,cubare+V
727,civilista+N
728,fiorare+V
729,cauzionare+V
730,rintoccare+V
731,sgombrare+V
732,posticipare+V
733,fruttare+V
734,nazionalizzare+V
735,traspirare+V
736,svincolare+V
737,sventagliare+V
738,armamentare+V
739,uniformare+V
740,schiodare+V
741,cogestire+V
742,sfibrare+V
743,medicao+A
744,emulare+V
745,sbocciare+V
746,infiocchettare+V
747,discernare+V
748,razionalizzare+V
749,squartare+V
750,deburocratizzare+V
751,resuscitare+V
752,panare+V
753,storicizzare+V
754,stimolare+V
755,spenzolare+V
756,quintuplicare+V
757,intingere+V
758,setacciare+V
759,smistare+V
760,potare+V
761,ripiovere+V
762,intempestivo+A
763,eterno+A
764,appropriare+V
765,srotolare+V
766,divertire+V
767,insinuare+V
768,antropomorfizzare+V
769,stimolare+V
770,girovagare+V
771,miscelare+V
772,lucrare+V
773,salare+V
774,superpagare+V
775,desinare+V
776,incatramare+V
777,sguinzagliare+V
778,imposizione+N
779,allertare+V
780,accavallare+V
781,depositare+V
782,strusciare+V
783,sprigionare+V
784,vagheggiare+V
785,rintanare+V
786,immergere+V
787,choccare+V
788,paraffinare+V
789,politicizzare+V
790,prestabilire+V
791,scocciare+V
792,costeggiare+V
793,fisioterapista+N
794,obnubilare+V
795,carpire+V
796,notiziola+N
797,sgombrare+V
798,affossatore+N
799,censire+A
800,espandere+V
801,stacciare+V
802,tramandare+A
803,deprimere+V
804,rinazionalizzare+V
805,obbligare+A
806,capponare+V
807,rivendere+V
808,confederare+V
809,arrugginire+V
810,ticchettare+V
811,esonerare+A
812,tramare+V
813,avvizzire+V
814,brutalizzare+V
815,spaziare+V
816,rieducare+V
817,scoppiettare+V
818,tentacolare+V
819,chiare+V
820,sussultare+V
821,molcere+V
822,infruttuoso+A
823,guadare+V
824,incattivire+V
825,co-produrre+V
826,uniformare+V
827,saldare+V
828,lesinare+V
829,amnistiare+V
830,languire+V
831,vialetto+N
832,truccare+V
833,poeticizzare+V
834,coibentare+V
835,svaligiare+V
836,rivuola+N
837,costeggiare+V
838,impaperare+V
839,concitare+V
840,imbiancare+V
841,ripagare+V
842,canticchiare+V
843,recensire+V
844,moltiplicare+V
845,collare+V
846,deludere+V
847,inventare+A
848,colmare+N
849,brandeggiare+V
850,affermare+V
851,corteggiare+V
852,cuocere+V
853,calamitare+V
854,dequalificare+V
855,reciprocare+V
856,contaminare+V
857,congiungere+V
858,grattare+V
859,familiarizzare+V
860,fiaccare+V
861,impalmare+V
862,faticare+V
863,dilatare+V
864,spiacere+V
865,consacrare+V
866,conglomerare+V
867,cocerere+V
868,annichilare+V
869,abbozzare+V
870,ribadire+V
871,afferrare+V
872,accoccolare+V
873,calmare+V
874,cannoneggiare+V
875,sfoltire+V
876,collimare+V
877,piccare+V
878,maneggione+N
879,luccicare+V
880,sfarfallare+V
881,ferire+V
882,resinare+V
883,infrangibile+A
884,ammontare+V
885,cingere+V
886,dimenticare+V
887,palesare+V
888,inzuccherare+V
889,autenticare+V
890,vulnerao+V
891,dalmare+A
892,dichiarare+V
893,assegnare+V
894,compiangere+V
895,convenire+V
896,prelibare+V
897,matronale+A
898,lesinare+V
899,cauzionare+V
900,ossequiare+V
901,sottorappresentare+V
902,incretinire+V
903,fauna+N
904,porcellanato+A
905,cesellare+V
906,riesplodere+V
907,percolare+V
908,deificare+V
909,bulinare+V
910,limitare+V
911,ingemmare+V
912,patteggiamento+N
913,rivaccinare+V
914,addurre+V
915,autotassare+V
916,asfissiare+V
917,permutare+V
918,svinare+V
919,volare+V
920,deambulazione+N
921,snellire+V
922,prezzolare+V
923,biasimevole+A
924,abboffare+V
925,smozzicare+V
926,relazionare+V
927,rinsecchire+V
928,calendarizzare+V
929,ingioiellare+V
930,sbozzare+V
931,inebetire+V
932,brancolare+V
933,vinificare+V
934,statico+A
935,sbaciucchiare+V
936,rogare+A
937,sgozzare+V
938,cinquantino+N
939,vistare+V
940,paganeggiare+V
941,scenico+A
942,scorrevolezza+N
943,edificare+V
944,arioso+A
945,propendere+V
946,allevare+V
947,frugare+V
948,riposare+V
949,imbatt+V
950,sottendere+V
951,rivoluzionare+V
952,mugghiare+V
953,sgonfiare+V
954,erodere+V
955,fans+N
956,derubricare+V
957,snobbare+V
958,immobile+A
959,imbandierare+V
960,narcotizzare+V
961,massellare+V
962,esternalizzare+V
963,proliferare+V
964,investire+V
965,espirare+V
966,fiscalizzare+V
967,rifocillare+V
968,insegnare+V
969,compire+V
970,infradiciare+V
971,psicoterapeutico+A
972,dolorare+V
973,mugolare+V
974,rifocillare+V
975,disidratare+V
976,straboccare+V
977,sovrapporre+V
978,predeterminare+V
979,dardeggiare+V
980,promuovere+V
981,sgranchire+V
982,discernere+V
983,arrabbiare+V
984,intessere+V
985,giunto+V
986,terriero+A
987,burlare+V
988,distendere+V
989,sanguignao+A
990,ciurlare+V
991,lesionare+V
992,accorciare+A
993,vantare+V
994,flottare+V
995,pervertire+V
996,affastellare+V
997,adorabile+A
998,stravaccare+V
999,investaire+V
1000,porge+A
1001,espungere+V
1002,arcaizzare+V
1003,settore+N
1004,centesimo+A
1005,leale+A
1006,canterellare+V
1007,rinunciatario+A
1008,presupporre+V
1009,insorgere+V
1010,seghettare+V
1011,calamitare+V
1012,sfamare+V
1013,sobbarcare+V
1014,grippare+V
1015,schematizzazione+N
1016,mobiliare+A
1017,sgombrare+V
1018,accentare+V
1019,respingere+V
1020,preavvisare+V
1021,immaturo+A
1022,pizzicottare+V
1023,assertire+A
1024,inchinare+V
1025,sobbarcare+V
1026,esterificare+V
1027,cicloturista+N
1028,perizia+N
1029,corrodaere+V
1030,ritentare+V
1031,supplementario+N
1032,interpellare+V
1033,formalizzare+V
1034,rabbrividre+V
1035,avvizzire+V
1036,accorare+V
1037,appagare+V
1038,smozzicare+V
1039,preparoare+V
1040,imbrogliare+V
1041,sopraelencare+V
1042,incenerire+V
1043,fegato+N
1044,dissuadere+V
1045,gonfiare+V
1046,carezzare+V
1047,decisione+N
1048,corrispondenza+N
1049,peritare+V
1050,spelacchiare+V
1051,abboffare+V
1052,autoanalizzare+V
1053,piotare+V
1054,rieducare+V
1055,annacquare+V
1056,fastoso+A
1057,raggruzzolare+V
1058,costellare+V
1059,affettare+V
1060,impiallacciare+V
1061,rastrellare+V
1062,escrescere+A
1063,simulare+V
1064,firmare+V
1065,interpellare+V
1066,abbreviare+A
1067,piovigginare+V
1068,chiamare+N
1069,ricoprire+V
1070,beare+V
1071,sanguinario+A
1072,riallungare+V
1073,gerarca+V
1074,saettare+V
1075,autoanalizzare+V
1076,raccordare+V
1077,soffietto+N
1078,iperbolico+A
1079,snobismo+N
1080,autocensurare+V
1081,straboccare+V
1082,marsalare+V
1083,denudare+V
1084,vergognare+V
1085,slanciare+V
1086,scardinare+V
1087,baccagliare+V
1088,chiazzare+V
1089,invelenire+V
1090,svinare+V
1091,sbarazzare+V
1092,sopraffare+V
1093,accompagnatrice+N
1094,delegare+V
1095,mascolinizzare+V
1096,frignare+V
1097,accapponare+V
1098,inventariare+A
1099,rinsaldare+V
1100,appestare+V
1101,esagitoare+V
1102,trasfusione+N
1103,sobbollire+V
1104,acciaccato+A
1105,inasprire+A
1106,turlupinare+V
1107,eccedere+A
1108,dissanguare+V
1109,mobiliere+N
1110,frustrare+V
1111,sgonnellare+V
1112,serrare+V
1113,formalizzare+V
1114,biscottare+V
1115,gratuito+A
1116,flottare+V
1117,crocefiggere+V
1118,ghettizzare+A
1119,tradito+N
1120,intromettere+V
1121,addolcire+V
1122,eredità+N
1123,salare+V
1124,spanciare+V
1125,imbevere+V
1126,marchiare+V
1127,disaffezionare+V
1128,fervere+V
1129,ospitare+V
1130,bestemmiare+V
1131,bussare+V
1132,osannare+V
1133,corredare+V
1134,raffinare+V
1135,vellicare+V
1136,paninoteca+N
1137,pugnalare+V
1138,imputare+V
1139,stoppare+V
1140,avvalere+V
1141,balenare+V
1142,raccolto+A
1143,nettare+V
1144,percentualizzare+V
1145,risolvaere+V
1146,ondeggiare+V
1147,chiazzare+V
1148,dinamizzare+A
1149,comunistizzare+V
1150,complicare+V
1151,scolpre+V
1152,riscrivere+V
1153,imbrigliare+V
1154,depoliticizzare+V
1155,ribattere+V
1156,pesare+V
1157,dequalificare+V
1158,disdire+V
1159,conduttore+N
1160,piazzamento+N
1161,coalizzare+V
1162,disapprovare+V
1163,ispezionare+V
1164,striscia+N
1165,tripolare+V
1166,pecorare+V
1167,ridistribuire+V
1168,scalatre+V
1169,gocciare+V
1170,alluvionato+A
1171,riammogliare+V
1172,appurare+V
1173,illeggiadrire+A
1174,blaterare+V
1175,acchiappare+V
1176,cesellare+V
1177,riarmare+V
1178,insanguinare+V
1179,rinsaccare+V
1180,basculare+V
1181,autoriformare+V
1182,emofilico+A
1183,vaticinare+V
1184,intossicare+V
1185,rasciugare+V
1186,schermire+V
1187,vestizione+N
1188,celeberrimo+A
1189,diventare+V
1190,commissariare+V
1191,ferire+V
1192,traboccare+V
1193,presentire+V
1194,sbrigare+V
1195,infiltrarsi+V
1196,bollare+V
1197,svestire+V
1198,levea+N
1199,storicizzare+V
1200,autotrasportatore+N
1201,contorcere+V
1202,condizionare+V
1203,acciaiare+V
1204,allogare+V
1205,colcosiano+A
1206,anticaglia+N
1207,accasciare+V
1208,gettare+V
1209,acclamare+V
1210,registrare+V
1211,ramare+V
1212,somatizzare+V
1213,figurare+V
1214,tracimare+V
1215,straboccare+V
1216,deputare+V
1217,screpolare+V
1218,interagire+V
1219,magnetizzare+V
1220,ferire+V
1221,stimare+V
1222,peggiorare+V
1223,spingere+V
1224,impaperare+V
1225,fulgere+A
1226,rateare+A
1227,scollare+V
1228,incrostare+V
1229,gelificare+A
1230,recensire+V
1231,rodare+V
1232,paganeggiare+V
1233,satollare+V
1234,sottrarre+V
1235,copiare+V
1236,allineare+V
1237,spiovere+V
1238,strillare+V
1239,diliscare+V
1240,frinire+V
1241,tamponare+V
1242,intromettere+V
1243,rimembrare+V
1244,ricomperare+V
1245,isoletta+N
1246,urgenza+N
1247,autotutelare+V
1248,arrossare+V
1249,molare+V
1250,stravincere+V
1251,ninnare+V
1252,crescere+V
1253,venire+V
1254,specificare+V
1255,imbiaccare+V
1256,ricomparire+V
1257,cozzare+V
1258,stride+V
1259,originare+V
1260,contaminare+V
1261,ammainare+V
1262,ginnasiale+N
1263,panare+V
1264,telecomandare+V
1265,scantinare+V
1266,accostumare+V
1267,scotennare+V
1268,circumnavigare+V
1269,spenzolare+V
1270,inaugurare+V
1271,reintegrare+V
1272,spopolare+V
1273,premunire+V
1274,riconsacrare+V
1275,dorare+V
1276,zoppicare+V
1277,miserabile+A
1278,sconvolgere+V
1279,cristianizzare+V
1280,inzuccherare+V
1281,epistolare+V
1282,trarre+V
1283,resistenziale+A
1284,compaginare+V
1285,assoldare+V
1286,rabberciare+V
1287,pensare+V
1288,migliorare+V
1289,demonetizzare+V
1290,realistico+A
1291,bassare+N
1292,regg+V
1293,alluvione+N
1294,resuscitare+V
1295,rispettare+V
1296,spocchioso+A
1297,intravedere+V
1298,congiungere+V
1299,ambiare+V
1300,sconnettere+V
1301,video-gioc+N
1302,congolese+V
1303,rovescere+V
1304,manualizzare+A
1305,bimbo+N
1306,rinforzare+V
1307,spruzzare+V
1308,sprintare+V
1309,arrabbiare+V
1310,esaminare+V
1311,ermafrodit+A
1312,miagolare+V
1313,desertificare+V
1314,menscevico+A
1315,ionizzare+V
1316,partecipare+V
1317,indugiare+V
1318,indisponrre+V
1319,argomentare+V
1320,bluffare+V
1321,affissare+A
1322,protendere+V
1323,egemonizzare+V
1324,escutere+V
1325,disattrezzare+V
1326,stiracchiare+V
1327,stravincere+V
1328,impacciare+V
1329,smarcare+V
1330,scaricare+V
1331,grippare+V
1332,punteggiare+V
1333,sopradescrivere+V
1334,gioire+V
1335,inquietare+V
1336,timoniero+A
1337,seminfermo+A
1338,collettività+N
1339,impiagare+V
1340,smantellare+A
1341,interagire+V
1342,riattizzare+V
1343,girellare+V
1344,israelitico+A
1345,sfrattare+A
1346,nona+A
1347,donchisciotteo+A
1348,svettare+V
1349,alienare+V
1350,fraseggiare+V
1351,tendina+N
1352,tifare+V
1353,difettare+V
1354,rachitico+A
1355,affissare+V
1356,elettronico+A
1357,ribatt+V
1358,scolorire+V
1359,cislare+V
1360,strinare+V
1361,riseminare+V
1362,profondare+V
1363,sospendere+V
1364,infilare+V
1365,asportare+A
1366,elidere+V
1367,rielaborare+V
1368,enunciare+V
1369,riverire+V
1370,farmere+N
1371,sgozzare+V
1372,impratichire+V
1373,consigliare+V
1374,crescere+V
1375,sgomentare+V
1376,carreggiare+V
1377,espositore+N
1378,dipinto+N
1379,murare+V
1380,acclimatare+V
1381,bollare+N
1382,preavvisare+V
1383,illustrare+V
1384,rifrangere+V
1385,autocontrollare+V
1386,sconsigliare+V
1387,rischiarare+V
1388,assicurare+V
1389,esortare+V
1390,rivangare+V
1391,eccepire+V
1392,plausibile+A
1393,incollerire+V
1394,ingioiellare+V
1395,stracciato+A
1396,chiazzare+V
1397,sondaggistre+N
1398,contenere+V
1399,telecomandare+V
1400,fuggire+V
1401,sviluppare+V
1402,palliare+V
1403,estinguere+V
1404,tubolare+N
1405,ballottare+V
1406,straviziare+V
1407,incenerire+V
1408,partire+V
1409,strumentalizzare+V
1410,propendere+V
1411,imperiare+V
1412,minaccioso+A
1413,sbarrare+V
1414,delibare+V
1415,mancare+V
1416,commerciare+V
1417,disimpegnare+V
1418,arcaicizzare+V
1419,sincerare+V
1420,atterrare+V
1421,arricciolare+V
1422,autoproclamare+A
1423,crespare+V
1424,indovinare+V
1425,stagionare+V
1426,controdeduzione+N
1427,ricostruire+V
1428,gualcire+V
1429,riabbattere+V
1430,denudare+V
1431,scantonare+V
1432,citare+V
1433,arioso+A
1434,palpeggiamento+N
1435,dichiarare+V
1436,accrescere+A
1437,funzionare+V
1438,chiacchierare+V
1439,algido+A
1440,brandello+N
1441,stasare+V
1442,universalizzare+V
1443,comprovare+V
1444,libri-intervista+N
1445,divagare+V
1446,reintegrre+V
1447,calamitare+V
1448,impalmare+V
1449,chiatta+N
1450,autocensurare+V
1451,allegare+V
1452,affacciare+V
1453,disgustoso+A
1454,autointerrogare+V
1455,mollare+V
1456,triturare+V
1457,dorare+V
1458,levare+V
1459,rimodellare+V
1460,ingravidare+V
1461,sbracare+V
1462,regolamentare+V
